V,Power,Hatch,Thickness,Temperature,Time,Ratio,Smax,N,Target,Delta,Complete No.
1250,200,80,30,820,1.5,-1,599.139,3008,3.478277832,1,1
1250,200,80,30,820,1.5,-1,498.906,18722,4.272352241,1,1
1250,200,80,30,820,1.5,-1,399.385,35108,4.54540609,1,1
1250,200,80,30,820,1.5,-1,350.478,83573,4.922065992,1,1
1250,200,80,30,820,1.5,-1,319.728,90255,4.955471271,1,1
1250,200,80,30,820,1.5,-1,299.754,219754,5.341936789,1,1
1250,200,80,30,820,1.5,-1,279.846,259321,5.413837688,1,1
1250,200,80,30,820,1.5,-1,250.874,392403,5.593732319,1,1
1250,200,80,30,820,1.5,-1,249.613,720878,5.857861772,1,1
1250,200,80,30,820,1.5,-1,230.921,761632,5.881745183,1,1
1250,200,80,30,820,1.5,-1,249.978,10000000,7,0,1
1250,200,80,30,820,1.5,-1,229.482,10000000,7,0,1
1250,200,80,30,820,1.5,-1,199.944,10000000,7,0,1
1250,170,100,30,650,3,0.1,500.744,30983,4.491123467,1,2
1250,170,100,30,650,3,0.1,500.851,33783,4.528698213,1,2
1250,170,100,30,650,3,0.1,400.713,58071,4.763959305,1,2
1250,170,100,30,650,3,0.1,301.193,151012,5.179011459,1,2
1250,170,100,30,650,3,0.1,301.301,173740,5.239899817,1,2
1250,170,100,30,650,3,0.1,240.692,326637,5.514065378,1,2
1250,170,100,30,650,3,0.1,219.554,483312,5.684227578,1,2
1250,170,100,30,650,3,0.1,200.08,3391590,6.530403346,1,2
1250,170,100,30,650,3,0.1,221.427,8351897,6.92178513,1,2
1250,170,100,30,650,3,0.1,200.29,10000000,7,0,2
1250,170,100,30,650,3,0.1,221.078,10000000,7,0,2
1200,280,140,30,704,1,-1,562.02,3120,,1,3
1200,280,140,30,704,1,-1,562.02,3722,,1,3
1200,280,140,30,704,1,-1,562.02,3805,,1,3
1200,280,140,30,704,1,-1,562.02,3890,,1,3
1200,280,140,30,704,1,-1,562.02,3933,,1,3
1200,280,140,30,704,1,-1,562.02,4441,,1,3
1200,280,140,30,704,1,-1,337.212,13832,,1,3
1200,280,140,30,704,1,-1,337.212,18631,,1,3
1200,280,140,30,704,1,-1,337.212,18837,,1,3
1200,280,140,30,704,1,-1,337.212,21983,,1,3
1200,280,140,30,704,1,-1,112.404,362118,,1,3
1200,280,140,30,704,1,-1,112.404,532740,,1,3
1200,280,140,30,704,1,-1,112.404,569190,,1,3
1200,280,140,30,704,1,-1,112.404,2000000,,0,3
1200,280,140,30,704,1,-1,112.404,2000000,,0,3
1200,280,140,30,704,1,-1,112.404,2000000,,0,3
1000,400,160,50,700,1,-1,332,10400,,1,5
1000,400,160,50,700,1,-1,223,27000,,1,5
1000,400,160,50,700,1,-1,191,47000,,1,5
1000,400,160,50,700,1,-1,191,18300,,1,5
1000,400,160,50,700,1,-1,140,409000,,1,5
1000,400,160,50,700,1,-1,100,3490000,,1,5
1200,280,140,30,704,1,-1,622.713,3131.385,,1,6
1200,280,140,30,704,1,-1,627.129,3977.98,,1,6
1200,280,140,30,704,1,-1,607.256,3977.98,,1,6
1200,280,140,30,704,1,-1,375.394,19096.6,,1,6
1200,280,140,30,704,1,-1,364.353,18107.6,,1,6
1200,280,140,30,704,1,-1,123.659,530120,,1,6
1200,280,140,30,704,1,-1,114.826,574138,,1,6
1200,280,140,30,704,1,-1,123.659,10000000,,0,6
1200,280,140,30,704,1,-1,624.921,4543.595,,1,6
1200,280,140,30,704,1,-1,611.672,3873.605,,1,6
1200,280,140,30,704,1,-1,370.978,13879.95,,1,6
1200,280,140,30,704,1,-1,351.104,19096.6,,1,6
1200,280,140,30,704,1,-1,366.562,22399.6,,1,6
1200,280,140,30,704,1,-1,119.243,355765.65,,1,6
1200,280,140,30,704,1,-1,121.451,10000000,,0,6
0,200,0,30,800,4,0.1,180.53955,27139.265,,1,7
0,200,0,30,800,4,0.1,180.5454,29377.113,,1,7
0,200,0,30,800,4,0.1,135.4239,87857.525,,1,7
0,200,0,30,800,4,0.1,134.93655,95759.585,,1,7
0,200,0,30,800,4,0.1,108.5607,198091.583,,1,7
0,200,0,30,800,4,0.1,102.87945,198091.583,,1,7
0,200,0,30,800,4,0.1,98.18595,197410.338,,1,7
0,200,0,30,800,4,0.1,99.4455,273843.473,,1,7
0,200,0,30,800,4,0.1,103.1616,318663.399,,1,7
0,200,0,30,800,4,0.1,100.94625,10000000,,0,7
0,200,0,30,800,4,0.1,95.265,10000000,,0,7
0,400,0,60,800,4,0.1,224.7066,14349,,1,8
0,400,0,60,800,4,0.1,224.71695,16469,,1,8
0,400,0,60,800,4,0.1,180.06165,33834,,1,8
0,400,0,60,800,4,0.1,157.57695,30723,,1,8
