v,P,HS,t,HT,Ht,SR,S,Nf,Targets,delta
1250,200,80,30,820,1.5,-1,599.139,3008,3.478277832,1
1250,200,80,30,820,1.5,-1,498.906,18722,4.272352241,1
1250,200,80,30,820,1.5,-1,399.385,35108,4.54540609,1
1250,200,80,30,820,1.5,-1,350.478,83573,4.922065992,1
1250,200,80,30,820,1.5,-1,319.728,90255,4.955471271,1
1250,200,80,30,820,1.5,-1,299.754,219754,5.341936789,1
1250,200,80,30,820,1.5,-1,279.846,259321,5.413837688,1
1250,200,80,30,820,1.5,-1,250.874,392403,5.593732319,1
1250,200,80,30,820,1.5,-1,249.613,720878,5.857861772,1
1250,200,80,30,820,1.5,-1,230.921,761632,5.881745183,1
1250,200,80,30,820,1.5,-1,249.978,10000000,7,0
1250,200,80,30,820,1.5,-1,229.482,10000000,7,0
1250,200,80,30,820,1.5,-1,199.944,10000000,7,0
1250,170,100,30,650,3,0.1,500.744,30983,4.491123467,1
1250,170,100,30,650,3,0.1,500.851,33783,4.528698213,1
1250,170,100,30,650,3,0.1,400.713,58071,4.763959305,1
1250,170,100,30,650,3,0.1,301.193,151012,5.179011459,1
1250,170,100,30,650,3,0.1,301.301,173740,5.239899817,1
1250,170,100,30,650,3,0.1,240.692,326637,5.514065378,1
1250,170,100,30,650,3,0.1,219.554,483312,5.684227578,1
1250,170,100,30,650,3,0.1,200.08,3391590,6.530403346,1
1250,170,100,30,650,3,0.1,221.427,8351897,6.92178513,1
1250,170,100,30,650,3,0.1,200.29,10000000,7,0
1250,170,100,30,650,3,0.1,221.078,10000000,7,0
1250,170,100,30,650,3,0.1,240.58,474862,5.676567417,1
1200,280,140,30,704,1,-1,562.02,3120,3.494154594,1
1200,280,140,30,704,1,-1,562.02,3722,3.570776369,1
1200,280,140,30,704,1,-1,562.02,3805,3.580354661,1
1200,280,140,30,704,1,-1,562.02,3890,3.589949601,1
1200,280,140,30,704,1,-1,562.02,3933,3.594723946,1
1200,280,140,30,704,1,-1,562.02,4441,3.647480773,1
1200,280,140,30,704,1,-1,337.212,13832,4.14088498,1
1200,280,140,30,704,1,-1,337.212,18631,4.270236166,1
1200,280,140,30,704,1,-1,337.212,18837,4.275011738,1
1200,280,140,30,704,1,-1,337.212,21983,4.34208696,1
1200,280,140,30,704,1,-1,112.404,362118,5.558850113,1
1200,280,140,30,704,1,-1,112.404,532740,5.726515306,1
1200,280,140,30,704,1,-1,112.404,569190,5.755257261,1
1200,280,140,30,704,1,-1,112.404,2000000,6.301029996,0
1200,280,140,30,704,1,-1,112.404,2000000,6.301029996,0
1200,280,140,30,704,1,-1,112.404,2000000,6.301029996,0
1250,170,100,30,650,4,0.1,320.7816,1232834,6.090904603,1
1250,170,100,30,650,4,0.1,295.9848,2500743,6.398069062,1
1250,170,100,30,650,4,0.1,282.31425,2327384,6.366868044,1
1250,170,100,30,650,4,0.1,259.1568,4013573,6.603531166,1
1250,170,100,30,650,4,0.1,273.10635,8364980,6.922464907,1
1250,170,100,30,650,4,0.1,270.1728,8753349,6.942174244,1
1250,170,100,30,650,4,0.1,247.04505,10000000,7,0
1250,170,100,30,650,4,0.1,246.0537,12182501,7.085736456,1
1250,170,100,30,650,4,0.1,246.0357,15694603,7.195750335,1
0,200,0,30,800,4,0.1,180.53955,27139.265,4.433598082,1
0,200,0,30,800,4,0.1,180.5454,29377.113,4.468009114,1
0,200,0,30,800,4,0.1,135.4239,87857.525,4.943778965,1
0,200,0,30,800,4,0.1,134.93655,95759.585,4.981182255,1
0,200,0,30,800,4,0.1,108.5607,198091.583,5.296866023,1
0,200,0,30,800,4,0.1,102.87945,198091.583,5.296866023,1
0,200,0,30,800,4,0.1,98.18595,197410.338,5.295369892,1
0,200,0,30,800,4,0.1,99.4455,273843.473,5.437502394,1
0,200,0,30,800,4,0.1,103.1616,318663.399,5.503332184,1
0,200,0,30,800,4,0.1,100.94625,10000000,7,0
0,200,0,30,800,4,0.1,95.265,10000000,7,0
0,400,0,60,800,4,0.1,224.7066,14349,4.156821636,1
0,400,0,60,800,4,0.1,224.71695,16469,4.21666723,1
0,400,0,60,800,4,0.1,180.06165,33834,4.529353345,1
0,400,0,60,800,4,0.1,157.57695,30723,4.487463621,1
0,400,0,60,800,4,0.1,135.43515,101886,5.008114512,1
0,400,0,60,800,4,0.1,126.30645,117342,5.069453486,1
0,400,0,60,800,4,0.1,112.4775,123140,5.090399149,1
0,400,0,60,800,4,0.1,112.5198,218151,5.338757208,1
0,400,0,60,800,4,0.1,107.83485,243576,5.386634494,1
0,400,0,60,800,4,0.1,104.39145,297447,5.473409593,1
0,400,0,60,800,4,0.1,107.86005,342571,5.534750595,1
0,400,0,60,800,4,0.1,105.1461,10000000,7,0
0,400,0,60,800,4,0.1,90.3249,10000000,7,0
0,400,50,60,740,2,-1,247.525,66604,4.823500312,1
0,400,50,60,740,2,-1,198.02,219000,5.340444115,1
0,400,50,60,740,2,-1,173.267,598000,5.776701184,1
0,400,50,60,740,2,-1,173.267,699000,5.844477176,1
0,400,50,60,740,2,-1,148.515,1020000,6.008600172,1
0,400,50,60,740,2,-1,173.267,5890000,6.770115295,1
0,400,50,60,740,2,-1,148.515,8040000,6.905256049,1
0,400,50,60,740,2,-1,148.515,10000000,7,0
0,400,50,60,740,2,-1,123.762,10000000,7,0
0,400,50,60,740,2,-1,106.436,10000000,7,0
0,400,50,60,740,2,-1,96.5347,10000000,7,0
0,400,50,60,740,1,-1,225.733,18153.4,4.258957977,1
0,400,50,60,740,1,-1,175.57,22479.8,4.351792443,1
0,400,50,60,740,1,-1,150.489,49409.6,4.693811338,1
0,400,50,60,740,1,-1,150.489,58492.6,4.767100926,1
0,400,50,60,740,1,-1,124.267,111000,5.045322979,1
0,400,50,60,740,1,-1,99.1857,133000,5.123851641,1
0,400,50,60,740,1,-1,125.407,255000,5.40654018,1
0,400,50,60,740,1,-1,99.1857,985000,5.99343623,1
0,400,50,60,740,1,-1,99.1857,2000000,6.301029996,1
0,400,50,60,740,1,-1,74.1042,2870000,6.457881897,1
0,400,50,60,740,1,-1,49.0228,10000000,7,0
0,400,50,60,1200,2,-1,251.954,24049.6,4.381107857,1
0,400,50,60,1200,2,-1,201.792,70028.8,4.845276684,1
0,400,50,60,1200,2,-1,176.71,97044.4,4.986970479,1
0,400,50,60,1200,2,-1,175.57,25729,4.410422907,1
0,400,50,60,1200,2,-1,125.407,650000,5.812913357,1
0,400,50,60,1200,2,-1,100.326,1510000,6.178976947,1
0,400,50,60,1200,2,-1,151.629,10000000,7,0
0,400,50,60,900,2,-1,250.814,25729,4.410422907,1
0,400,50,60,900,2,-1,303.257,159000,5.201397124,1
0,400,50,60,900,2,-1,251.954,216000,5.334453751,1
0,400,50,60,900,2,-1,176.71,354000,5.549003262,1
0,400,50,60,900,2,-1,201.792,594000,5.773786445,1
0,400,50,60,900,2,-1,151.629,2000000,6.301029996,1
0,400,50,60,900,2,-1,100.326,3320000,6.521138084,1
0,400,50,60,900,2,-1,226.873,10100000,7.004321374,0
