V,Power,Hatch,Thickness,Temperature,Time,Ratio,Smax,N,Targets,Delta,,,Data 2
1250,200,80,30,820,1.5,-1,599.139,3008,3.478277832,1,,,
1250,200,80,30,820,1.5,-1,498.906,18722,4.272352241,1,,,
1250,200,80,30,820,1.5,-1,399.385,35108,4.54540609,1,,,
1250,200,80,30,820,1.5,-1,350.478,83573,4.922065992,1,,,
1250,200,80,30,820,1.5,-1,319.728,90255,4.955471271,1,,,
1250,200,80,30,820,1.5,-1,299.754,219754,5.341936789,1,,,
1250,200,80,30,820,1.5,-1,279.846,259321,5.413837688,1,,,
1250,200,80,30,820,1.5,-1,250.874,392403,5.593732319,1,,,
1250,200,80,30,820,1.5,-1,249.613,720878,5.857861772,1,,,
1250,200,80,30,820,1.5,-1,230.921,761632,5.881745183,1,,,
1250,200,80,30,820,1.5,-1,249.978,10000000,7,0,,,
1250,200,80,30,820,1.5,-1,229.482,10000000,7,0,,,
1250,200,80,30,820,1.5,-1,199.944,10000000,7,0,,,
