V,p,h,v,t,Sigma,Nf
90,120,0.07,1200,30,202.694,5005850000.000
90,120,0.07,1200,30,158.617,6771930000.000
90,120,0.07,1200,30,154.493,7064330000.000
90,120,0.07,1200,30,146.903,7157900000.000
90,120,0.07,1200,30,174.535,7263160000.000
90,120,0.1,1000,45,146.073,5134510000.000
90,120,0.1,1000,45,116.473,6526320000.000
90,120,0.1,1000,45,116.504,6970760000.000
90,120,0.1,1000,45,110.994,7192990000.000
90,120,0.1,1000,45,102.705,7169590000.000
90,120,0.1,1000,45,102.714,7298250000.000
90,120,0.1,1000,45,102.037,7497080000.000
90,120,0.1,1000,45,102.742,7707600000.000
90,120,0.13,800,60,86.705,5485380000.000
90,160,0.13,1000,30,175.083,5204680000.000
90,160,0.13,1000,30,174.410,5450300000.000
90,160,0.13,1000,30,174.436,5836260000.000
90,160,0.13,1000,30,202.098,6374270000.000
90,160,0.13,1000,30,174.503,6807020000.000
90,160,0.13,1000,30,144.803,6748540000.000
90,160,0.13,1000,30,144.812,6877200000.000
90,160,0.13,1000,30,145.516,7076030000.000
90,160,0.07,800,45,180.647,5766090000.000
90,160,0.07,800,45,180.686,6339180000.000
90,160,0.07,800,45,181.410,6818720000.000
90,160,0.07,800,45,160.017,7052630000.000
90,160,0.07,800,45,160.728,7345030000.000
90,160,0.07,800,45,175.231,7345030000.000
90,160,0.1,1200,60,119.200,6011700000.000
90,160,0.1,1200,60,115.892,8116960000.000
90,200,0.1,800,30,291.092,5017550000.000
90,200,0.1,800,30,275.288,6163750000.000
90,200,0.1,800,30,250.449,6502930000.000
90,200,0.1,800,30,260.831,6830410000.000
90,200,0.1,800,30,232.515,6818720000.000
90,200,0.1,800,30,204.212,6994160000.000
90,200,0.1,800,30,202.868,7532170000.000
90,200,0.1,800,30,203.574,7754390000.000
90,200,0.13,1200,45,145.971,3660830000.000
90,200,0.13,1200,45,133.677,5649130000.000
90,200,0.13,1200,45,133.718,6233920000.000
90,200,0.13,1200,45,135.807,6491230000.000
90,200,0.13,1200,45,131.737,7555560000.000
90,200,0.13,1200,45,132.464,8081870000.000
90,200,0.07,1000,60,130.316,6982460000.000
90,160,0.07,1000,30,298.725,5543860000.000
90,160,0.07,1000,30,291.168,6116960000.000
90,160,0.07,1000,30,291.893,6608190000.000
90,160,0.07,1000,30,289.137,6701760000.000
90,160,0.07,1000,30,278.777,6690060000.000
90,160,0.07,1000,30,251.145,6584800000.000
90,160,0.07,1000,30,261.539,7087720000.000
90,160,0.07,1000,30,251.180,7087720000.000
90,160,0.07,1000,30,242.215,7274860000.000
90,160,0.07,1000,30,233.289,8023390000.000
90,200,0.08,1250,30,600.000,3008.000
90,200,0.08,1250,30,500.000,18722.000
90,200,0.08,1250,30,400.000,35108.000
90,200,0.08,1250,30,350.000,83573.000
90,200,0.08,1250,30,320.000,90255.000
90,200,0.08,1250,30,300.000,219754.000
90,200,0.08,1250,30,280.000,259321.000
90,200,0.08,1250,30,250.000,392403.000
90,200,0.08,1250,30,250.000,720878.000
90,200,0.08,1250,30,230.000,761632.000
90,200,0.08,1250,30,250.000,10000000.000
90,200,0.08,1250,30,230.000,10000000.000
90,200,0.08,1250,30,200.000,10000000.000
45,170,0.1,1250,30,500.000,30983.000
45,170,0.1,1250,30,500.000,33783.000
45,170,0.1,1250,30,400.000,58071.000
45,170,0.1,1250,30,300.000,151012.000
45,170,0.1,1250,30,300.000,173740.000
45,170,0.1,1250,30,240.000,326637.000
45,170,0.1,1250,30,240.000,474862.000
45,170,0.1,1250,30,220.000,483312.000
45,170,0.1,1250,30,200.000,3391590.000
45,170,0.1,1250,30,220.000,8351897.000
45,170,0.1,1250,30,200.000,10000000.000
45,170,0.1,1250,30,220.000,10000000.000
90,175,0.12,710,30,374.482,1378200.000
90,175,0.12,710,30,396.938,1471680.000
90,175,0.12,710,30,266.974,1330730.000
90,175,0.12,710,30,357.960,1537450.000
90,175,0.12,710,30,360.819,1586340.000
90,175,0.12,710,30,319.005,1619530.000
90,175,0.12,710,30,317.758,1725560.000
90,175,0.12,710,30,249.615,1889590.000
90,175,0.12,710,30,270.641,1958620.000
90,175,0.12,710,30,201.097,2118590.000
90,175,0.12,710,30,560.600,1516330.000
90,175,0.12,710,30,504.205,2042120.000
90,175,0.12,710,30,478.032,2116200.000
90,175,0.12,710,30,442.617,2213440.000
90,175,0.12,710,30,476.781,2305010.000
90,175,0.12,710,30,445.911,2342320.000
90,175,0.12,710,30,402.606,2338380.000
90,175,0.12,710,30,478.442,2378660.000
90,175,0.12,710,30,427.556,2471530.000
